Pclass,Fare,Cabin,Embarked
3,7.0542,,S
1,30.5,B50,C
1,0.0,,S
2,13.0,,S
3,7.925,,S
3,7.8542,,S
1,69.3,B35,C
3,56.4958,,S
3,7.8958,,S
1,35.5,A26,C
3,7.55,,S
3,7.55,,S
3,7.8958,,S
3,8.4333,,S
3,7.8292,,Q
3,6.75,,Q
3,7.8958,,S
2,13.0,,S
3,7.225,,C
1,25.5875,E58,S
3,7.4958,,S
2,13.0,,S
3,7.775,,S
3,8.05,,S
2,10.5,,S
2,13.0,,S
2,0.0,,S
3,7.775,,S
3,8.05,,S
3,9.8417,,S
3,8.1375,,Q
1,76.7292,D49,C
3,9.225,,S
3,10.1708,,S
3,7.7958,,S
3,56.4958,,S
3,7.225,,C
1,26.55,,S
2,13.5,,S
3,8.05,,S
3,7.7333,,Q
3,7.65,F G63,S
1,26.2875,E24,S
3,7.7417,,Q
2,26.0,,S
2,13.5,,S
1,26.2875,E24,S
1,151.55,,S
1,49.5042,C90,C
1,26.55,C124,S
3,9.4833,,S
2,13.0,,S
3,7.65,F G73,S
1,227.525,C45,C
2,10.5,E101,S
3,15.5,,Q
3,7.775,,S
2,13.0,,S
2,13.0,,S
3,8.6625,,S
3,7.7375,,Q
1,211.3375,B5,S
3,18.7875,,C
2,0.0,,S
2,13.0,,S
2,13.0,,S
3,16.1,,S
1,512.3292,B101,C
3,7.8958,,S
3,7.8958,,S
1,30.0,D45,S
3,7.925,,S
2,13.0,,S
3,7.75,,Q
3,9.5,,S
3,7.8958,,S
3,7.7958,,S
2,11.5,,S
3,8.05,,S
1,86.5,B77,S
3,14.5,,S
3,7.125,,S
3,7.2292,,C
3,7.775,,S
1,39.6,,C
3,7.75,,Q
3,8.3625,,S
3,9.5,,S
3,7.8542,,S
2,10.5,E77,S
3,7.225,,C
3,7.75,,S
3,7.75,F38,Q
3,12.475,,S
3,7.7375,,Q
3,7.2292,,C
1,30.0,D6,S
3,7.05,,S
3,7.25,,S
3,7.4958,,S
1,79.2,B82 B84,C
3,7.75,,Q
2,26.0,,S
1,30.6958,,C
3,7.8958,,S
2,13.0,,S
1,25.9292,D17,S
3,8.6833,,S
3,7.2292,,C
2,13.0,,S
3,6.975,,S
3,7.775,,S
1,0.0,A36,S
3,7.775,,S
2,13.0,,S
3,7.8875,,S
3,24.15,,S
2,10.5,,S
3,8.05,,S
1,0.0,B102,S
3,7.925,,S
3,6.45,,S
3,8.6625,,S
1,0.0,,S
3,6.95,,Q
3,56.4958,,S
3,7.75,,Q
1,80.0,B28,
3,7.2292,,C
3,7.8542,,S
3,8.3,,S
3,8.6625,,S
3,8.05,,S
3,56.4958,,S
1,29.7,C47,C
3,7.925,,S
2,10.5,,S
1,31.0,,C
3,6.4375,,C
3,8.6625,,S
3,7.55,,S
3,7.8958,,C
3,7.775,,S
1,26.55,E17,S
3,7.2292,,C
1,25.9292,D17,S
2,13.0,,S
2,13.0,,S
1,50.4958,A24,S
3,9.5,,S
3,7.8958,,S
1,5.0,B51 B53 B55,S
3,9.0,,S
3,7.225,,C
3,9.8458,,S
3,7.8958,,S
3,7.8958,,S
3,7.8958,,S
3,10.5167,,S
2,10.5,,S
3,7.05,,S
2,13.0,,S
1,30.0,B42,S
1,30.0,C148,C
3,7.75,,Q
